I collected and manually labeled 200 examples from r/Games. The dataset was balanced with 50 examples per label to reduce bias during training.
text,label,notes
Persona 4 Revival Gameplay Broadcast showcases new gameplay and soundtrack updates.,Announcement,Gameplay reveal and promotional showcase
"Community discusses whether Thick As Thieves successfully balances stealth gameplay with atmosphere, and how it compares to other stealth-focused titles.",Discussion,Community discussion about stealth game design and gameplay balance
Players debate the creativity and humor in Tomodachi Life while discussing whether the repetitive nature and limited online features detract from the overall experience.,Discussion,Community discussion about life simulation design and game longevity
Discussion thread examining whether Super Meat Boy 3D's challenging platforming and speedrunning potential justify frustration with camera issues and control responsiveness.,Discussion,Community debate about platformer design and difficulty balance
Super Meat Boy 3D Review Thread. OpenCritic score of 74 with critics praising challenging platforming and speedrunning potential while criticizing controls and camera issues.,Review_Critique,Review aggregation summarizing critic opinions
Life is Strange: Reunion Review Thread. OpenCritic score of 75 with critics praising emotional storytelling while criticizing fan service and uneven pacing.,Review_Critique,Review aggregation summarizing critic opinions
The Legend of Heroes: Trails Beyond the Horizon Review Thread. OpenCritic score of 82 with critics praising combat and narrative payoff while criticizing slow pacing and reliance on prior knowledge.,Review_Critique,Review aggregation summarizing critic opinions
Routine Review Thread. OpenCritic score of 80 with critics praising atmosphere and horror design while criticizing story delivery and gameplay frustrations.,Review_Critique,Review aggregation summarizing critic opinions
"Constance Review Thread. OpenCritic score of 84 with critics praising emotional storytelling, art direction, and metroidvania gameplay.",Review_Critique,Review aggregation summarizing critic opinions
Forestrike Review Thread. OpenCritic score of 77 with critics praising tactical combat and innovation while criticizing balance issues and technical problems.,Review_Critique,Review aggregation summarizing critic opinions
Marvel's Deadpool VR Review Thread. OpenCritic score of 81 with critics praising humor and VR combat while criticizing repetitive sections.,Review_Critique,Review aggregation summarizing critic opinions
Call of Duty: Black Ops 7 Review Thread. OpenCritic score of 79 with critics praising content variety while criticizing campaign weaknesses.,Review_Critique,Review aggregation summarizing critic opinions
Where Winds Meet Review Thread. OpenCritic score of 73 with critics praising ambition and combat while criticizing technical issues and lack of polish.,Review_Critique,Review aggregation summarizing critic opinions
Farming and survival games: is it possible to balance cozy gameplay with real tension? The post questions whether farming progression and survival pressure can work together without making one side feel stressful or meaningless.,Discussion,Discussion post about game design balance
"Granblue Fantasy: Relink Endless Ragnarok will have even harder bosses than Lucilius, according to the developers.",Industry_News,Developer statement about upcoming expansion difficulty
Garfield: Escape from Monday Official Announcement Trailer reveals a new Garfield platformer release.,Announcement,Official game announcement trailer
FELLOWSHIP: Rise of the Heskyr New Season Begins June 22.,Announcement,Season update announcement
Fogpiercer Release Date Trailer reveals a roguelite deckbuilder set on a train.,Announcement,Release date trailer announcement
The VFX tech behind Saros explains the move from NGP to Graphite and highlights technical development behind the game.,Industry_News,Technical article about game development
"Digimon Story: Time Stranger free update launches July 9 with Terriermon Assistant, graphics mode options, and quality-of-life changes.",Announcement,Free update announcement
"Japanese gamers vote on most influential games, favorite characters, favorite developers, and most requested remakes for Famitsu's 40th anniversary.",Industry_News,Industry poll and gaming culture report
Palworld lead says Pocketpair avoids AI because gamers do not want it and artists prefer creating things themselves.,Industry_News,Developer statement about AI use in games
Electronic Arts introduces EA Advertising to launch brands directly into gameplay and live experiences.,Industry_News,Business announcement about in-game advertising
"Epic announces Lore, an open source version control tool designed for game development.",Industry_News,Industry announcement about development tooling
Gears of War: E-Day Raven Extract Cinematic shows a new cinematic clip from the upcoming Gears of War prequel.,Announcement,Trailer/cinematic reveal
How Super Smash Bros. inspired Warframe's new 2-in-1 characters and Ryuko's environmental Railjack boss fight.,Industry_News,Preview article about design inspiration and upcoming Warframe content
Epic introduces a major Unreal Engine 5 update that improves Lumen performance and can run up to twice as fast on Nintendo Switch 2.,Industry_News,Technical engine update
Packed Lair Trailer reveals new footage for the game.,Announcement,Game trailer reveal
Poncle says it is reviewing the Fortnite and Vampire Survivors collaboration after news about Epic's generative AI asset usage.,Industry_News,Studio response to AI controversy
Lawn Mowing Simulator 2 Demo Launch Trailer announces the demo release for the simulator sequel.,Announcement,Demo launch trailer
Pokémon Champions launches on mobile alongside a new game update.,Announcement,Mobile launch and update announcement
Fortnite behind-the-scenes video reveals Epic Games uses generative AI to help create concept art and skin designs.,Industry_News,Industry report about generative AI usage
Tom Cruise and Julia Roberts were once pitched as Master Chief and Cortana for Halo 2.,Industry_News,Historical gaming industry anecdote
Ubisoft+ Free Trial from June 18-23 allows players temporary access to Ubisoft+ games and content.,Announcement,Subscription free trial promotion
Blizzard reveals it almost added a Devil May Cry-style ranking system to Overwatch's new combo-focused hero Shion.,Industry_News,Developer interview and design discussion
Beyond All Reason announces a new partnership with Hooded Horse to support future development and publishing efforts.,Industry_News,Publishing partnership announcement
Tower Lab showcases a physics-based tower defense game where enemies have no health and gameplay revolves around manipulating physics objects.,Announcement,Indie game reveal and demo promotion
Stop Killing Games holds a press conference following the European Commission's response to its European Citizens' Initiative.,Industry_News,Consumer advocacy and game preservation news
Discussion about famous game developers and studios that successfully became independent after leaving larger publishers.,Discussion,Industry career and studio independence discussion
"The Steam Next Fest June 2026 Edition is live, with players sharing impressions and recommendations from new game demos.",Discussion,Community discussion about game demos and upcoming releases
"Red Season - A Manhunt-inspired survival horror game where a father hunts a cult while searching for his missing daughter. Features PSX-style visuals, stealth combat, and atmospheric storytelling.",Announcement,Indie game reveal and upcoming demo promotion
Capcom says shifting from auteur-driven development to team-led development helped the company sustain flagship franchises and improve long-term success.,Industry_News,Company strategy discussion based on executive interview
"Supermarket Guard Simulator puts players in the role of a security guard at a shady supermarket, where they surveil customers, catch thieves, build security systems, and follow increasingly questionable management orders.",Announcement,Indie game reveal and demo promotion
"All Roads Connected is an exploration-focused city builder where roads reveal the fog of war, allowing players to expand settlements, manage resources, and uncover new biomes in an endless procedural world.",Announcement,Indie game reveal and demo release
"Project ZETA developers from NIRVANANA hosted an AMA ahead of the game's June open beta, discussing design decisions, four-team PvP gameplay, controller support, and their approach to AI-assisted development.",Discussion,Developer AMA and community Q&A about upcoming PvP game
Final Fantasy VII Revelation director says modern RPGs need greater player agency because some players may be satisfied watching streams instead of playing.,Industry_News,Developer interview discussing game design philosophy and player behavior
Ubisoft closes its Belgrade studio and lays off more than 100 employees.,Industry_News,Studio closure and workforce reduction
"Epic Gamer Grandma dies at age 78, prompting discussion about gaming across generations and older players in the gaming community.",Industry_News,Community figure death and gaming culture discussion
"Hideo Kojima disappointed with the state of the industry, believing the most interesting work is happening among indies while big budget studios are producing safe projects.",Industry_News,Developer commentary on trends and creativity in the game industry
"Ultra rare Tsukihime 1999 demo floppy disk reportedly damaged during customs inspection, destroying one of only 50 known copies.",Industry_News,Video game preservation and rare gaming artifact damage
LTT on Steam Machine pricing: Valve reacted negatively when a $500 console price was suggested.,Industry_News,Discussion of Steam Machine pricing and PC gaming hardware
PS5 now costs less than 64GB of DDR5 memory as RAM prices surge due to shortages.,Industry_News,PC hardware pricing and memory market shortage
Guild Wars 3 officially announced with a reveal trailer.,Announcement,New game announcement and trailer release
Nintendo suing the U.S. government over tariffs affecting its business operations.,Industry_News,Legal dispute involving Nintendo and government trade policy
In a new press reply Valve confirms they were pressured by payment processors to ban select adult games.,Industry_News,Platform policy and content moderation controversy
Larian Studios hosts a Divinity AMA discussing development plans and lessons from Baldur's Gate 3.,Discussion,Studio developers answering community questions about future projects
I’m Getting Bored of Every PlayStation Game Telling the Same Story - IGN.,Discussion,Editorial discussion about storytelling trends in PlayStation exclusives
Young gamers in Japan may not be forming the same attachment to Final Fantasy or Dragon Quest because modern dev cycles are as long as their childhood.,Discussion,Discussion of franchise relevance and long development cycles
"Grand Theft Auto VI is now set to launch November 19, 2026.",Announcement,Official game release date announcement
Indie Game Awards disqualifies Clair Obscur: Expedition 33 due to generative AI usage.,Industry_News,Award eligibility controversy involving AI-generated content
"Deus Ex and Unreal composer says he submitted 50 resumes and received only one interview in the last year, highlighting how difficult the game industry job market has become.",Industry_News,Game industry labor market and composer employment struggles
"FTC says payment processors pressuring Steam over NSFW games is not acceptable, though the discussion notes the action may be tied more to broader political banking issues than gaming specifically.",Industry_News,Payment processor influence and platform content moderation
Claim that Mouthwashing was delisted from Itch.io search due to an adult-content purge was corrected as false; Itch.io said the page had not been indexed since October 2024 because it only linked to Steam instead of hosting playable files.,Industry_News,False information correction about platform indexing
Sony records a new $560 million loss on the Bungie acquisition as Marathon struggles and Destiny 2 declines.,Industry_News,"Business report about acquisition losses, live-service struggles, and Bungie performance"
007 First Light's director says the game has sold 3 million copies and is tracking well above forecasts.,Industry_News,Sales milestone and publisher performance discussion
Valve confirms physical Steam Gift Cards are being discontinued after current stock sells through.,Industry_News,Platform retail/payment change affecting Steam users
Overwatch 2 is being renamed back to Overwatch as Blizzard announces five new heroes arriving next week.,Announcement,Live-service update and branding change
I'd recommend Fallout: New Vegas if you haven't played it yet. The roleplaying options and quest design still hold up better than most modern RPGs.,Discussion,Game recommendation from Suggest Me a Game thread
I'm looking for a co-op game that isn't too competitive. Something my friends and I can play casually a few nights a week.,Discussion,Recommendation request from Suggest Me a Game thread
The Neo Geo port works because developers continue finding clever ways to work around hardware limitations that were never designed for games this complex.,Discussion,Technical discussion about DOOM Neo Geo development
I've spent more time talking about games than actually playing them this week. Anyone else stuck in that cycle?,Discussion,Casual Free Talk Friday discussion
Best traveling NPCs and merchants in video games,Discussion,Community discussion about memorable NPCs and merchants
Can anyone recommend turn-based tactics games similar to XCOM that are not too difficult?,Discussion,Community recommendation discussion about strategy games
Is there any game like Inscryption Act 2 but fully fleshed out?,Discussion,Community discussion seeking game recommendations with similar mechanics
How big is Summer Game Fest compared to The Game Awards?,Discussion,Community discussion about gaming events and expectations
What games are you most hoping to see during Summer Game Fest?,Discussion,Community discussion about anticipated game announcements
PlayStation first-party game sales declining heavily since 2020,Discussion,Community analysis and debate about PlayStation sales trends
Jason Schreier - Why Games Now Take 6+ Years To Make,Discussion,Community discussion about modern game development timelines
